,Departamento,dpto_geocode,dpto_coords,lat,lon
0,Bogotá D.C.,"Bogotá, Colombia","(4.59808, -74.0760439)",4.59808,-74.0760439
1,Valle del Cauca,"Valle del Cauca, Colombia","(4.0639569, -76.12337674536764)",4.0639569,-76.12337674536764
2,Antioquia,"Antioquia, Colombia","(7.153843350000001, -75.444040009994)",7.153843350000001,-75.444040009994
3,Cartagena D.T. y C.,"Cartagena, Cartagena de Indias, Bolívar, Colombia","(10.4195841, -75.5271224)",10.4195841, -75.5271224
4,Huila,"Huila, Colombia","(2.4738993, -75.5900113)",2.4738993,-75.5900113
5,Meta,"Meta, Colombia","(3.5000086, -73.0000086)",3.5000086,-73.0000086
6,Risaralda,"Risaralda, Colombia","(5.2102948, -75.9842236)",5.2102948,-75.9842236
7,Norte de Santander,"Norte de Santander, Colombia","(8.4417924, -73.0492505)",8.4417924,-73.0492505
8,Caldas,"Caldas, Colombia","(5.3302514, -75.2873471)",5.3302514,-75.2873471
9,Cundinamarca,"Cundinamarca, Colombia","(5.0000086, -74.1666756)",5.0000086,-74.1666756
10,Barranquilla D.E.,"Barranquilla, Medellin innovation district, El Picacho, Comuna 4 - Aranjuez, Zona Urbana Medellín, Medellín, Valle de Aburrá, Antioquia, 0500, Colombia","(6.2646341, -75.5693208)",6.2646341,-75.5693208
11,Santander,"Santander, Colombia","(7.0000085, -73.2500086)",7.0000085,-73.2500086
12,Quindío,"Quindío, Colombia","(4.3435926, -75.7232898)",4.3435926,-75.7232898
13,Tolima,"Tolima, Colombia","(3.7500086, -75.2500086)",3.7500086,-75.2500086
14,Cauca,"Cauca, Colombia","(2.715645, -76.662665)",2.715645,-76.662665
15,Santa Marta D.T. y C.,"Santa Marta, Magdalena, Colombia","(11.2422289, -74.2055606)",11.2422289, -74.2055606
16,Cesar,"Cesar, Colombia","(9.3333415, -73.5000086)",9.3333415,-73.5000086
17,Archipiélago de San Andrés Providencia y Santa Catalina,"Archipiélago de San Andrés, Providencia y Santa Catalina, Colombia","(12.38051665, -81.6140750764522)",12.38051665,-81.6140750764522
18,Casanare,"Casanare, Colombia","(5.5000085, -71.5000086)",5.5000085,-71.5000086
19,Nariño,"Nariño, Colombia","(1.5, -78.0000086)",1.5,-78.0000086
20,Atlántico,"Atlántico, Colombia","(10.7500084, -75.0000086)",10.7500084,-75.0000086
21,Boyacá,"Boyacá, Colombia","(5.6278979, -72.8268617)",5.6278979,-72.8268617
22,Córdoba,"Córdoba, Colombia","(8.3344713, -75.6666238)",8.3344713,-75.6666238
23,Bolívar,"Bolívar, Colombia","(9.0, -74.333333)",9.0,-74.333333
24,Sucre,"Sucre, Colombia","(9.0, -75.0)",9.0,-75.0
25,Magdalena,"Magdalena, Colombia","(10.0000085, -74.5000086)",10.0000085,-74.5000086
26,La Guajira,"La Guajira, Colombia","(11.2780115, -72.6135766)",11.2780115,-72.6135766
27,Buenaventura D.E.,"Buenaventura, 3.88773/-77.07722, Colombia","(3.8899335, -77.0786047)",3.8899335,-77.0786047
28,Chocó,"Chocó, Colombia","(6.0000085, -77.0000086)",6.0000085,-77.0000086
29,Amazonas,"Amazonas, Colombia","(-1.0197136, -71.9383333)",-1.0197136,-71.9383333
30,Caquetá,"Caquetá, Colombia","(1.1153385, -74.1056838)",1.1153385,-74.1056838
31,Putumayo,"Putumayo, Colombia","(0.5000086, -76.0000086)",0.5000086,-76.0000086
32,Arauca,"Arauca, Colombia","(6.6666755, -71.0000086)",6.6666755,-71.0000086
33,Vaupés,"Vaupés, Colombia","(0.2500086, -70.7500086)",0.2500086,-70.7500086
34,Guainía,"Guainía, Colombia","(2.5000086, -69.0000086)",2.5000086,-69.0000086
35,Vichada,"Vichada, Colombia","(5.0000086, -69.5000086)",5.0000086,-69.5000086
